_id,productTitle,productPrice,productUrl,paginationUrl,productImage,shop,__v,createdAt,updatedAt
65dee07bdb60e39590030669,FARMDALE Light Sour Cream 300g,3.19,https://www.aldi.com.au/groceries/fresh-produce/dairy-eggs/dairy-eggs-detail/ps/p/farmdale-light-sour-cream-300g/,https://www.aldi.com.au/groceries/fresh-produce/dairy-eggs/,https://www.aldi.com.au/fileadmin/_processed_/4/9/csm_1001349_ALN-1_1x1_Q3_WEB-AUDIT_228x128_34_9b804551df.jpg,Aldi,0,2024-02-28T07:27:55.364Z,2024-02-28T07:27:55.364Z
65dee07bdb60e39590030667,FARMDALE Light Thickened Cream 300ml,2.79,https://www.aldi.com.au/groceries/fresh-produce/dairy-eggs/dairy-eggs-detail/ps/p/farmdale-light-thickened-cream-300ml/,https://www.aldi.com.au/groceries/fresh-produce/dairy-eggs/,https://www.aldi.com.au/fileadmin/_processed_/9/a/csm_1001349_ALN-1_1x1_Q3_WEB-AUDIT_228x128_31_085e977115.jpg,Aldi,0,2024-02-28T07:27:55.364Z,2024-02-28T07:27:55.364Z
65dee07bdb60e39590030668,FARMDALE Sour Cream 300g,3.19,https://www.aldi.com.au/groceries/fresh-produce/dairy-eggs/dairy-eggs-detail/ps/p/farmdale-sour-cream-300g-1/,https://www.aldi.com.au/groceries/fresh-produce/dairy-eggs/,https://www.aldi.com.au/fileadmin/_processed_/0/f/csm_1001349_ALN-1_1x1_Q3_WEB-AUDIT_228x128_33_c9b85a10f3.jpg,Aldi,0,2024-02-28T07:27:55.364Z,2024-02-28T07:27:55.364Z
65dee07bdb60e39590030666,FARMDALE Thickened Cream 600ml,4.49,https://www.aldi.com.au/groceries/fresh-produce/dairy-eggs/dairy-eggs-detail/ps/p/farmdale-thickened-cream-600ml-1/,https://www.aldi.com.au/groceries/fresh-produce/dairy-eggs/,https://www.aldi.com.au/fileadmin/_processed_/6/4/csm_1001349_ALN-1_1x1_Q3_WEB-AUDIT_228x128_30_0db32237f1.jpg,Aldi,0,2024-02-28T07:27:55.364Z,2024-02-28T07:27:55.364Z
65dee07bdb60e39590030635,Farmdale Evaporated Milk 384mL,1.89,https://www.aldi.com.au/groceries/fresh-produce/dairy-eggs/dairy-eggs-detail/ps/p/farmdale-evaporated-milk-384ml/,https://www.aldi.com.au/groceries/fresh-produce/dairy-eggs/,,Aldi,0,2024-02-28T07:27:55.361Z,2024-02-28T07:27:55.361Z
65dee07bdb60e39590030627,Farmdale Full Cream Milk Powder 1kg,8.49,https://www.aldi.com.au/groceries/fresh-produce/dairy-eggs/dairy-eggs-detail/ps/p/farmdale-full-cream-milk-powder-1kg-1/,https://www.aldi.com.au/groceries/fresh-produce/dairy-eggs/,,Aldi,0,2024-02-28T07:27:55.360Z,2024-02-28T07:27:55.360Z
65dee07bdb60e3959003061b,Farmdale Full Cream Milk UHT 1L,1.59,https://www.aldi.com.au/groceries/fresh-produce/dairy-eggs/dairy-eggs-detail/ps/p/farmdale-full-cream-milk-uht-1l/,https://www.aldi.com.au/groceries/fresh-produce/dairy-eggs/,,Aldi,0,2024-02-28T07:27:55.359Z,2024-02-28T07:27:55.359Z
65dee07bdb60e39590030622,Farmdale Lactose Free Full Cream Milk 1L,2.79,https://www.aldi.com.au/groceries/fresh-produce/dairy-eggs/dairy-eggs-detail/ps/p/farmdale-lactose-free-full-cream-milk-1l-1/,https://www.aldi.com.au/groceries/fresh-produce/dairy-eggs/,https://www.aldi.com.au/fileadmin/_processed_/9/d/csm_1000855_ALN-10_1x1_Q1_WEB-AUDIT_228x128_37_6934e81d52.jpg,Aldi,0,2024-02-28T07:27:55.360Z,2024-02-28T07:27:55.360Z
65dee07bdb60e3959003061c,Farmdale Light Milk UHT 1L,1.59,https://www.aldi.com.au/groceries/fresh-produce/dairy-eggs/dairy-eggs-detail/ps/p/farmdale-light-milk-uht-1l/,https://www.aldi.com.au/groceries/fresh-produce/dairy-eggs/,,Aldi,0,2024-02-28T07:27:55.359Z,2024-02-28T07:27:55.359Z
65dee07bdb60e39590030633,Farmdale Moobox Milk Chocolate 6pk,4.69,https://www.aldi.com.au/groceries/fresh-produce/dairy-eggs/dairy-eggs-detail/ps/p/farmdale-moobox-milk-chocolate-6pk/,https://www.aldi.com.au/groceries/fresh-produce/dairy-eggs/,,Aldi,0,2024-02-28T07:27:55.361Z,2024-02-28T07:27:55.361Z
65dee07bdb60e39590030632,Farmdale Moobox Milk Strawberry 6pk,4.69,https://www.aldi.com.au/groceries/fresh-produce/dairy-eggs/dairy-eggs-detail/ps/p/farmdale-moobox-milk-strawberry-6pk/,https://www.aldi.com.au/groceries/fresh-produce/dairy-eggs/,,Aldi,0,2024-02-28T07:27:55.361Z,2024-02-28T07:27:55.361Z
65dee07bdb60e3959003061a,Farmdale Organic Full Cream Milk 1L,2.39,https://www.aldi.com.au/groceries/fresh-produce/dairy-eggs/dairy-eggs-detail/ps/p/farmdale-organic-full-cream-milk-1l/,https://www.aldi.com.au/groceries/fresh-produce/dairy-eggs/,https://www.aldi.com.au/fileadmin/_processed_/4/e/csm_1001605-3_1x1_Q4_WEB-AUDIT_DAIRY_228x128_18_ad31fcab18.jpg,Aldi,0,2024-02-28T07:27:55.359Z,2024-02-28T07:27:55.359Z
65dee07bdb60e3959003066b,Farmdale Pouring Cream 300ml,2.79,https://www.aldi.com.au/groceries/fresh-produce/dairy-eggs/dairy-eggs-detail/ps/p/farmdale-pouring-cream-300ml/,https://www.aldi.com.au/groceries/fresh-produce/dairy-eggs/,,Aldi,0,2024-02-28T07:27:55.364Z,2024-02-28T07:27:55.364Z
65dee07bdb60e39590030634,Farmdale Sweetened Condensed Milk 397g,1.79,https://www.aldi.com.au/groceries/fresh-produce/dairy-eggs/dairy-eggs-detail/ps/p/farmdale-sweetened-condensed-milk-397g/,https://www.aldi.com.au/groceries/fresh-produce/dairy-eggs/,,Aldi,0,2024-02-28T07:27:55.361Z,2024-02-28T07:27:55.361Z
65dee07bdb60e3959003066c,Farmdale Thickened Cream 300ml,2.79,https://www.aldi.com.au/groceries/fresh-produce/dairy-eggs/dairy-eggs-detail/ps/p/farmdale-thickened-cream-300ml/,https://www.aldi.com.au/groceries/fresh-produce/dairy-eggs/,,Aldi,0,2024-02-28T07:27:55.364Z,2024-02-28T07:27:55.364Z
65dee07bdb60e3959003066a,Farmdale Whipped Cream 250g,5.29,https://www.aldi.com.au/groceries/fresh-produce/dairy-eggs/dairy-eggs-detail/ps/p/farmdale-whipped-cream-250g/,https://www.aldi.com.au/groceries/fresh-produce/dairy-eggs/,https://www.aldi.com.au/fileadmin/_processed_/0/9/csm_1001605-3_1x1_Q4_WEB-AUDIT_DAIRY_228x128_17_f0f9888018.jpg,Aldi,0,2024-02-28T07:27:55.364Z,2024-02-28T07:27:55.364Z
65dee07bdb60e3959003061e,Farmdale Full Cream Milk UHT 2L,3.09,https://www.aldi.com.au/groceries/fresh-produce/dairy-eggs/dairy-eggs-detail/ps/p/farmdale-full-cream-milk-uht-2l/,https://www.aldi.com.au/groceries/fresh-produce/dairy-eggs/,https://www.aldi.com.au/fileadmin/_processed_/2/e/csm_1000855_ALN-10_1x1_Q1_WEB-AUDIT_228x128_35_4d9610744a.jpg,Aldi,0,2024-02-28T07:27:55.359Z,2024-02-28T07:27:55.359Z
